Freq. Range[20,30]
Name;#Ephocs;Power
65_BL_01.set;80;-6.846109
65_BL_02.set;80;-7.074615
65_EV_01.set;80;-8.026232
65_EV_02.set;80;-8.888083
65_T1_01.set;80;-8.518196
65_T1_02.set;80;-5.651336
66_BL_01.set;80;-5.489121
66_BL_02.set;80;-5.014755
66_EV_01.set;80;-6.809431
66_EV_02.set;80;-5.730818
66_T1_01.set;80;-6.712967
66_T1_02.set;80;-4.950252
67_BL_01.set;80;-11.982628
67_BL_02.set;80;-4.430913
67_EV_01.set;80;-9.749244
67_EV_02.set;80;-5.029533
67_T1_01.set;80;-9.810913
67_T1_02.set;80;-5.542322
68_BL_01.set;80;-6.872434
68_BL_02.set;80;-5.407373
68_EV_01.set;80;-4.819260
68_EV_02.set;80;-5.238940
68_T1_01.set;80;-12.685035
68_T1_02.set;80;-5.715897
69_BL_01.set;80;-7.741556
69_BL_02.set;80;-3.448671
69_EV_01.set;80;-3.744636
69_EV_02.set;80;-7.027636
69_T1_01.set;80;-6.851523
69_T1_02.set;80;-7.014571
70_BL_01.set;80;-6.006711
70_BL_02.set;80;-0.454831
70_EV_01.set;80;-9.003946
70_EV_02.set;80;-2.291006
70_T1_01.set;80;-8.603127
70_T1_02.set;80;-1.671123
71_BL_01.set;80;-5.926632
71_BL_02.set;80;-8.555122
71_EV_01.set;80;-7.247204
71_EV_02.set;80;-9.941667
71_T1_01.set;80;-7.013622
71_T1_02.set;80;-9.735560
73_BL_01.set;80;-9.138868
73_BL_02.set;80;-6.290976
73_EV_01.set;80;-9.529125
73_EV_02.set;80;-6.925327
73_T1_01.set;80;-10.116593
73_T1_02.set;80;-6.170905
74_BL_01.set;80;-10.994894
74_BL_02.set;80;-6.027182
74_EV_01.set;80;-9.067082
74_EV_02.set;80;-7.220501
74_T1_01.set;80;-9.290750
74_T1_02.set;80;-7.325362
