Freq. Range[4,7.990000e+00]
Name;#Ephocs;Power
65_BL_01.set;80;4.590708
65_BL_02.set;80;-5.489750
65_EV_01.set;80;2.102227
65_EV_02.set;80;-6.873460
65_T1_01.set;80;1.647752
65_T1_02.set;80;-1.483245
66_BL_01.set;80;-1.320434
66_BL_02.set;80;0.806609
66_EV_01.set;80;-2.057760
66_EV_02.set;80;0.118859
66_T1_01.set;80;-2.374941
66_T1_02.set;80;-0.232866
67_BL_01.set;80;-6.110290
67_BL_02.set;80;-1.633371
67_EV_01.set;80;-5.950011
67_EV_02.set;80;-1.029949
67_T1_01.set;80;-5.691614
67_T1_02.set;80;-1.080643
68_BL_01.set;80;1.241471
68_BL_02.set;80;0.832336
68_EV_01.set;80;1.995031
68_EV_02.set;80;-0.354746
68_T1_01.set;80;-4.785945
68_T1_02.set;80;-0.285044
69_BL_01.set;80;-2.573354
69_BL_02.set;80;1.889338
69_EV_01.set;80;1.437120
69_EV_02.set;80;-1.966461
69_T1_01.set;80;-0.977460
69_T1_02.set;80;-1.661111
70_BL_01.set;80;-0.117898
70_BL_02.set;80;6.228826
70_EV_01.set;80;-5.747462
70_EV_02.set;80;3.683853
70_T1_01.set;80;-5.291517
70_T1_02.set;80;3.157586
71_BL_01.set;80;-1.353686
71_BL_02.set;80;-4.603048
71_EV_01.set;80;-2.642790
71_EV_02.set;80;-3.894249
71_T1_01.set;80;-2.132648
71_T1_02.set;80;-3.399738
73_BL_01.set;80;-1.509038
73_BL_02.set;80;-0.052290
73_EV_01.set;80;-2.390446
73_EV_02.set;80;-1.657719
73_T1_01.set;80;-2.975642
73_T1_02.set;80;-0.008700
74_BL_01.set;80;-5.304916
74_BL_02.set;80;3.278560
74_EV_01.set;80;-3.558434
74_EV_02.set;80;1.412476
74_T1_01.set;80;-4.083294
74_T1_02.set;80;1.645497
